Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,8.918323355209256e-05,0.00015857317598051644,0.9359430604982208,0.8941043083900226,0.8587947736236373,0.2,"[40, 40, 40, 40]"
2,0.00015903831923276565,0.00028298904804246,0.7561837455830389,0.6882618510158014,0.584364241427983,0.2,"[40, 40, 40, 40]"
3,3.057957177932252e-05,5.442334864963435e-05,0.9816849816849815,0.9510392609699769,0.9347069724907889,0.2,"[40, 40, 40, 40]"
4,0.0001375751349181042,0.00024494365519570673,0.8903508771929826,0.8520618556701031,0.8025378577205675,0.2,"[40, 40, 40, 40]"
5,0.00012069924903440607,0.00021340927204399016,0.8007246376811594,0.7924311926605505,0.723531823632207,0.2,"[40, 40, 40, 40]"
6,0.00019982222222222264,0.0003549557289532323,0.786046511627907,0.7490666666666667,0.6654986425974067,0.2,"[40, 40, 40, 40]"
7,2.1003990758243928e-05,3.738109318807239e-05,0.9711191335740071,0.7979405034324942,0.7304573782238967,0.2,"[40, 40, 40, 40]"
8,7.470770386560034e-05,0.00013295629382942733,0.8892988929889297,0.874477958236659,0.8325923323491544,0.2,"[40, 40, 40, 40]"
9,0.00017361111111111112,0.0003083786669286156,0.928030303030303,0.8936320754716981,0.8581628596189159,0.2,"[40, 40, 40, 40]"
