Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,7.98029481050641e-05,0.00014191011568887954,0.9359430604982208,0.910803324099723,0.881073556533798,0.1,"[20, 20, 20, 20]"
2,4.3932100030272116e-05,7.825282708047382e-05,0.7561837455830389,0.7181818181818181,0.6243051199107097,0.1,"[20, 20, 20, 20]"
3,2.6393670512474363e-05,4.696442083986801e-05,0.9816849816849815,0.9654390934844193,0.9539085010531,0.1,"[20, 20, 20, 20]"
4,4.696782294184909e-05,8.353789050020147e-05,0.8903508771929826,0.871103896103896,0.827886949107125,0.1,"[20, 20, 20, 20]"
5,0.00020769333277223713,0.00036809182152839346,0.8007246376811594,0.7867977528089887,0.7159740786952052,0.1,"[20, 20, 20, 20]"
6,0.00011810143956079022,0.00020995942637217686,0.786046511627907,0.7610169491525424,0.6814448504661408,0.1,"[20, 20, 20, 20]"
7,3.670313441280665e-05,6.515957959753131e-05,0.9711191335740071,0.853501400560224,0.8046110821314187,0.1,"[20, 20, 20, 20]"
8,2.3538769977516178e-05,4.19009650609894e-05,0.8892988929889297,0.8851851851851851,0.8468598942516399,0.1,"[20, 20, 20, 20]"
9,0.00011079562526290448,0.00019688145638187382,0.928030303030303,0.9011627906976744,0.8681979571586481,0.1,"[20, 20, 20, 20]"
