Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,0.00015180701251387295,0.00027007455134611723,0.9359430604982208,0.8821205821205821,0.8428122400627538,0.01,"[50, 50, 50, 50]"
2,0.0002716706650454064,0.00048350872577173953,0.7561837455830389,0.6865424430641822,0.5820406232737506,0.01,"[50, 50, 50, 50]"
3,0.00017759581159945066,0.0003158667707247942,0.9816849816849815,0.9496828752642706,0.9329003611680472,0.01,"[50, 50, 50, 50]"
4,0.00016552877010122185,0.0002957525179709871,0.8903508771929826,0.8553738317757009,0.8069454938236991,0.01,"[50, 50, 50, 50]"
5,0.00014240990513852568,0.00025248743834170616,0.8007246376811594,0.7743697478991597,0.6994796305794594,0.01,"[50, 50, 50, 50]"
6,0.0002892856566829568,0.0005135793018159328,0.786046511627907,0.7339759036144577,0.6453865084851284,0.01,"[50, 50, 50, 50]"
7,2.485641634936886e-05,4.416493281393367e-05,0.9711191335740071,0.7758909853249476,0.701028044264681,0.01,"[50, 50, 50, 50]"
8,0.0001312752026100781,0.00023343329691534898,0.8892988929889297,0.8783439490445861,0.8377549721846671,0.01,"[50, 50, 50, 50]"
9,4.10803937111905e-05,7.297647370000839e-05,0.928030303030303,0.8840517241379311,0.8453852622123101,0.01,"[50, 50, 50, 50]"
