Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,7.08259829782704e-05,0.00012589340362485443,0.9359430604982208,0.896508728179551,0.8620057307725686,0.4,"[30, 30, 30, 30]"
2,5.609979195186889e-05,9.980699369585507e-05,0.7561837455830389,0.7096774193548387,0.612938546674723,0.4,"[30, 30, 30, 30]"
3,5.359554142647576e-05,9.534651929008895e-05,0.9816849816849815,0.950381679389313,0.9338297120495472,0.4,"[30, 30, 30, 30]"
4,6.871963124440334e-05,0.0001221562190054623,0.8903508771929826,0.8738505747126435,0.8316187405001925,0.4,"[30, 30, 30, 30]"
5,7.397204366901337e-05,0.00013077045787716,0.8007246376811594,0.7914141414141415,0.722126117118673,0.4,"[30, 30, 30, 30]"
6,0.00012039305957773376,0.00021356669303183005,0.786046511627907,0.7558208955223881,0.6745058998512324,0.4,"[30, 30, 30, 30]"
7,5.386043239211537e-05,9.594027754486076e-05,0.9711191335740071,0.8226700251889169,0.7634690617375334,0.4,"[30, 30, 30, 30]"
8,0.00012675072623660142,0.00022557367229009086,0.8892988929889297,0.8864450127877239,0.8485492352244576,0.4,"[30, 30, 30, 30]"
9,0.00017150125385802486,0.00030472459532251067,0.928030303030303,0.8963541666666668,0.8617943263427209,0.4,"[30, 30, 30, 30]"
