Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,0.00010198941548870947,0.0001812565694499286,0.9359430604982208,0.8972568578553617,0.8630045553160182,0.01,"[30, 30, 30, 30]"
2,0.00015735307498694975,0.0002797856624422905,0.7561837455830389,0.7121588089330025,0.6162338745172754,0.01,"[30, 30, 30, 30]"
3,9.503316808640873e-05,0.00016905271516045353,0.9816849816849815,0.9575063613231553,0.9433310046836446,0.01,"[30, 30, 30, 30]"
4,0.0001049602912464588,0.00018733381239881324,0.8903508771929826,0.8752873563218391,0.833523609843118,0.01,"[30, 30, 30, 30]"
5,7.652280379553112e-05,0.00013547183964972618,0.8007246376811594,0.7878787878787878,0.7174429716594216,0.01,"[30, 30, 30, 30]"
6,9.356204054355085e-05,0.00016585182783318867,0.786046511627907,0.7597014925373134,0.679670866398368,0.01,"[30, 30, 30, 30]"
7,1.417008757960105e-05,2.517364723725824e-05,0.9711191335740071,0.8269521410579346,0.7691720559358541,0.01,"[30, 30, 30, 30]"
8,2.7908416786040736e-05,4.965148959476459e-05,0.8892988929889297,0.8859335038363172,0.8478665375210668,0.01,"[30, 30, 30, 30]"
9,0.00010971257716049394,0.0001950901865722744,0.928030303030303,0.8859375,0.8478946835543482,0.01,"[30, 30, 30, 30]"
