Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,0.0001934927090852249,0.00034402528270362047,0.9359430604982208,0.8858627858627859,0.8478025461001595,0.4,"[50, 50, 50, 50]"
2,0.00020213364348750082,0.00035997902324730774,0.7561837455830389,0.6824016563146997,0.576518557886755,0.4,"[50, 50, 50, 50]"
3,6.138378723068345e-05,0.0001091794899579576,0.9816849816849815,0.943340380549683,0.9244401600942984,0.4,"[50, 50, 50, 50]"
4,0.00016352713968226262,0.00029161049555252315,0.8903508771929826,0.8485981308411216,0.7979017893154952,0.4,"[50, 50, 50, 50]"
5,0.00010342372243014811,0.00018273289824825964,0.8007246376811594,0.7754201680672269,0.7008869360429213,0.4,"[50, 50, 50, 50]"
6,0.00016231996258124888,0.000288145730397379,0.786046511627907,0.7233734939759036,0.6312550606698342,0.4,"[50, 50, 50, 50]"
7,1.933819425216131e-05,3.4291968083937464e-05,0.9711191335740071,0.7752620545073375,0.7001887431405791,0.4,"[50, 50, 50, 50]"
8,8.995431663017903e-05,0.00016004299661921364,0.8892988929889297,0.8751592356687897,0.8335071417130383,0.4,"[50, 50, 50, 50]"
9,0.0001391366098559911,0.0002473845405826308,0.928030303030303,0.8905172413793103,0.854020048025242,0.4,"[50, 50, 50, 50]"
