Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,5.261867911689731e-05,9.354087698456407e-05,0.9359430604982208,0.8882086167800454,0.8509317357829757,0.4,"[40, 40, 40, 40]"
2,0.00040288952640098354,0.0007165374273763272,0.7561837455830389,0.6880361173814897,0.5840632127197656,0.4,"[40, 40, 40, 40]"
3,0.00017328424008282626,0.00030830221950586047,0.9816849816849815,0.9482678983833719,0.9310099186455604,0.4,"[40, 40, 40, 40]"
4,9.417697004050464e-05,0.00016763726817348962,0.8903508771929826,0.8422680412371134,0.7894352353276959,0.4,"[40, 40, 40, 40]"
5,0.00019107304847141543,0.000338318016300588,0.8007246376811594,0.7864678899082569,0.7155532343881553,0.4,"[40, 40, 40, 40]"
6,2.8523456790123577e-05,5.07747563251076e-05,0.786046511627907,0.7448000000000001,0.6598159433767982,0.4,"[40, 40, 40, 40]"
7,3.025505593985275e-05,5.3976565124005724e-05,0.9711191335740071,0.7986270022883295,0.731362044331093,0.4,"[40, 40, 40, 40]"
8,0.00013254785569749404,0.0002358369059796047,0.8892988929889297,0.8812064965197216,0.841568329841649,0.4,"[40, 40, 40, 40]"
9,0.00010729401526838347,0.000190555917744936,0.928030303030303,0.8966981132075471,0.862252618125161,0.4,"[40, 40, 40, 40]"
