Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,0.0001083224925142637,0.00019265809286190066,0.9359430604982208,0.891609977324263,0.8554675740756131,0.01,"[40, 40, 40, 40]"
2,0.000170984593835156,0.00030409799237621714,0.7561837455830389,0.6930022573363431,0.5906743915259899,0.01,"[40, 40, 40, 40]"
3,8.587170447332983e-05,0.00015275904854755457,0.9816849816849815,0.9517321016166281,0.9356318272631287,0.01,"[40, 40, 40, 40]"
4,0.00011816405096774949,0.00021075516571752355,0.8903508771929826,0.8512886597938145,0.8014913168057793,0.01,"[40, 40, 40, 40]"
5,0.0002011264483909887,0.0003565899150250223,0.8007246376811594,0.7905963302752294,0.7210448776237841,0.01,"[40, 40, 40, 40]"
6,0.00032110617283950636,0.0005702685805563796,0.786046511627907,0.7477333333333334,0.6637183448696264,0.01,"[40, 40, 40, 40]"
7,3.496786273048366e-05,6.221806246668979e-05,0.9711191335740071,0.7956521739130433,0.7273920754110149,0.01,"[40, 40, 40, 40]"
8,8.308166586814929e-05,0.00014780059989843888,0.8892988929889297,0.8767981438515082,0.8356935718540208,0.01,"[40, 40, 40, 40]"
9,6.89747241011036e-05,0.00012268670122396187,0.928030303030303,0.8863207547169811,0.8484038573631834,0.01,"[40, 40, 40, 40]"
