Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,4.4676009409244736e-05,7.944709911507404e-05,0.9359430604982208,0.9041551246537395,0.8722078548271931,0.3,"[20, 20, 20, 20]"
2,0.0001741262697936879,0.00030947532674706357,0.7561837455830389,0.7203856749311296,0.627253464214879,0.3,"[20, 20, 20, 20]"
3,7.846766909113927e-05,0.00013962578023804788,0.9816849816849815,0.9603399433427763,0.9471069516319874,0.3,"[20, 20, 20, 20]"
4,0.00014629129888870139,0.000261409524086166,0.8903508771929826,0.8730519480519481,0.8304957571974727,0.3,"[20, 20, 20, 20]"
5,0.0001329097055646729,0.0002351668892234338,0.8007246376811594,0.7887640449438201,0.7186118149736866,0.3,"[20, 20, 20, 20]"
6,0.00012116569312777308,0.0002148997685624848,0.786046511627907,0.7494915254237288,0.6660887224149015,0.3,"[20, 20, 20, 20]"
7,3.007739043329784e-05,5.3446346917505766e-05,0.9711191335740071,0.858543417366947,0.8113375649717982,0.3,"[20, 20, 20, 20]"
8,2.3538769977516175e-05,4.190806156917107e-05,0.8892988929889297,0.8851851851851851,0.8468597049950988,0.3,"[20, 20, 20, 20]"
9,0.00012168739859383363,0.00021637727964986177,0.928030303030303,0.9005813953488373,0.867422798844389,0.3,"[20, 20, 20, 20]"
