Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,0.00010880242923798387,0.00019342250882575449,0.9359430604982208,0.9193146417445484,0.8924250135363382,0.1,"[10, 10, 10, 10]"
2,6.560442872494144e-05,0.00011657594718875519,0.7561837455830389,0.7238390092879257,0.6318909425267022,0.1,"[10, 10, 10, 10]"
3,3.050851686644697e-05,5.428715700203946e-05,0.9816849816849815,0.9677316293929714,0.9569661711488455,0.1,"[10, 10, 10, 10]"
4,8.183584564738508e-05,0.00014603395436866074,0.8903508771929826,0.8839552238805972,0.8450305669193563,0.1,"[10, 10, 10, 10]"
5,2.715020740978148e-05,4.794775434555261e-05,0.8007246376811594,0.808860759493671,0.7453959152100722,0.1,"[10, 10, 10, 10]"
6,6.766628219915421e-05,0.00012045641075089727,0.786046511627907,0.76,0.6800734874622737,0.1,"[10, 10, 10, 10]"
7,2.753203501544168e-05,4.8859044271002596e-05,0.9711191335740071,0.9050473186119875,0.873383231120186,0.1,"[10, 10, 10, 10]"
8,7.926579198588386e-06,1.4105973174670294e-05,0.8892988929889297,0.884565916398714,0.8460226116254075,0.1,"[10, 10, 10, 10]"
9,9.089335180055349e-05,0.0001615783044232544,0.928030303030303,0.9085526315789474,0.8780298399355384,0.1,"[10, 10, 10, 10]"
