Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,8.93926797208015e-05,0.00015892891458990792,0.9359430604982208,0.9218068535825547,0.8957455710277358,0.01,"[10, 10, 10, 10]"
2,9.041909088875863e-05,0.00016044710585541024,0.7561837455830389,0.7247678018575852,0.6331381384457686,0.01,"[10, 10, 10, 10]"
3,2.1435351999101895e-05,3.8138563078457084e-05,0.9816849816849815,0.968370607028754,0.9578183298221268,0.01,"[10, 10, 10, 10]"
4,5.940447018638149e-05,0.00010600152014158162,0.8903508771929826,0.8828358208955223,0.8435345684068405,0.01,"[10, 10, 10, 10]"
5,3.1601061083515956e-05,5.588772042914919e-05,0.8007246376811594,0.808860759493671,0.7453958443708828,0.01,"[10, 10, 10, 10]"
6,0.00013328207099833428,0.0002365412268610016,0.786046511627907,0.7607843137254902,0.6811086457461674,0.01,"[10, 10, 10, 10]"
7,3.814679550332258e-05,6.771289024231635e-05,0.9711191335740071,0.9037854889589905,0.8717013718072334,0.01,"[10, 10, 10, 10]"
8,3.7794848642544615e-05,6.727392962037356e-05,0.8892988929889297,0.8813504823151124,0.841734127616717,0.01,"[10, 10, 10, 10]"
9,6.792955524776836e-05,0.00012075737160178833,0.928030303030303,0.912828947368421,0.8837233868667157,0.01,"[10, 10, 10, 10]"
