Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,7.033913695157818e-05,0.00012520998709366783,0.9359430604982208,0.909972299168975,0.8799607228910565,0.01,"[20, 20, 20, 20]"
2,9.35138175308472e-05,0.00016634856296820295,0.7561837455830389,0.7104683195592286,0.6140065955077786,0.01,"[20, 20, 20, 20]"
3,5.492736836379784e-05,9.772772149979587e-05,0.9816849816849815,0.9654390934844193,0.953909289484636,0.01,"[20, 20, 20, 20]"
4,0.00019689005078615506,0.0003522924075067507,0.8903508771929826,0.8756493506493508,0.8339666399066645,0.01,"[20, 20, 20, 20]"
5,5.9704161932415844e-05,0.00010533537367868617,0.8007246376811594,0.7912921348314608,0.721961067735478,0.01,"[20, 20, 20, 20]"
6,0.0001492546841584476,0.000265146235444319,0.786046511627907,0.7528813559322034,0.6705784844109216,0.01,"[20, 20, 20, 20]"
7,2.057467867321246e-05,3.6559230863266655e-05,0.9711191335740071,0.8565826330532212,0.8087142052238706,0.01,"[20, 20, 20, 20]"
8,0.00015151392169435868,0.0002695799872550095,0.8892988929889297,0.8831908831908832,0.8441978539267794,0.01,"[20, 20, 20, 20]"
9,0.00011464530376780118,0.00020394992518900408,0.928030303030303,0.8944767441860465,0.8592723944983465,0.01,"[20, 20, 20, 20]"
