Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,5.970306153871699e-05,0.00010619338677209146,0.9359430604982208,0.8922902494331065,0.8563772494239436,0.1,"[40, 40, 40, 40]"
2,0.0003205111873181521,0.0005702684861751565,0.7561837455830389,0.6914221218961625,0.5885775356274012,0.1,"[40, 40, 40, 40]"
3,6.54853232871147e-05,0.00011650622740905098,0.9816849816849815,0.9549653579676676,0.9399428828293293,0.1,"[40, 40, 40, 40]"
4,0.0001403059718236677,0.0002498149980898225,0.8903508771929826,0.8548969072164949,0.8062870757345222,0.1,"[40, 40, 40, 40]"
5,8.416799932665609e-05,0.00014912682812617286,0.8007246376811594,0.7935779816513759,0.7250311864897254,0.1,"[40, 40, 40, 40]"
6,0.00017927901234567945,0.00031866121894628003,0.786046511627907,0.7410666666666667,0.654831840372685,0.1,"[40, 40, 40, 40]"
7,3.869156192308092e-05,6.905879207819302e-05,0.9711191335740071,0.797482837528604,0.7298472862234611,0.1,"[40, 40, 40, 40]"
8,8.164612952485552e-05,0.0001452963958015214,0.8892988929889297,0.8758700696055683,0.8344543201445941,0.1,"[40, 40, 40, 40]"
9,0.0001745999960444613,0.00031029899981200736,0.928030303030303,0.8903301886792454,0.8537533840830995,0.1,"[40, 40, 40, 40]"
