Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,0.0001508287870451788,0.00026836770012675067,0.9359430604982208,0.888888888888889,0.851838558180065,0.3,"[40, 40, 40, 40]"
2,6.771442855193611e-05,0.00012061195335955177,0.7561837455830389,0.6957110609480812,0.594295079249334,0.3,"[40, 40, 40, 40]"
3,0.00015906118344128045,0.0002830199392482905,0.9816849816849815,0.9454965357967667,0.9273134388928886,0.3,"[40, 40, 40, 40]"
4,0.0001837041367012671,0.0003279326930601818,0.8903508771929826,0.8528350515463918,0.8035671182966192,0.3,"[40, 40, 40, 40]"
5,0.00016459519868323815,0.00029151171497519737,0.8007246376811594,0.7885321100917431,0.7182771627046949,0.3,"[40, 40, 40, 40]"
6,0.0001023999999999997,0.00018217205650554198,0.786046511627907,0.7418666666666667,0.6558857532965693,0.3,"[40, 40, 40, 40]"
7,9.07651678195587e-05,0.0001617841288602746,0.9711191335740071,0.7986270022883295,0.731369153966049,0.3,"[40, 40, 40, 40]"
8,0.0001007268000878067,0.00017921646725734412,0.8892988929889297,0.8756380510440834,0.8341408774094466,0.3,"[40, 40, 40, 40]"
9,6.977819310944976e-05,0.00012392685717359266,0.928030303030303,0.8983490566037737,0.8644554434986953,0.3,"[40, 40, 40, 40]"
