Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,4.7877382142383366e-05,8.50955080041635e-05,0.9359430604982208,0.9177570093457943,0.8903456618217348,0.4,"[10, 10, 10, 10]"
2,5.846888209414433e-05,0.00010388205748115621,0.7561837455830389,0.7309597523219814,0.641381191387013,0.4,"[10, 10, 10, 10]"
3,4.53658243367229e-06,8.069813404850555e-06,0.9816849816849815,0.9648562300319489,0.9531304973781506,0.4,"[10, 10, 10, 10]"
4,0.00010968169104725113,0.00019528132810309735,0.8903508771929826,0.8764925373134329,0.8350726694090593,0.4,"[10, 10, 10, 10]"
5,1.8804856771528816e-05,3.335023929229177e-05,0.8007246376811594,0.8072784810126583,0.7432930187688076,0.4,"[10, 10, 10, 10]"
6,0.00018949976504763157,0.00033723669319775943,0.786046511627907,0.7603921568627451,0.680601762549025,0.4,"[10, 10, 10, 10]"
7,1.503757735783175e-05,2.670192862051743e-05,0.9711191335740071,0.9047318611987383,0.8729568169912623,0.4,"[10, 10, 10, 10]"
8,2.0792910651369396e-05,3.701630626926956e-05,0.8892988929889297,0.8864951768488746,0.8485972505227576,0.4,"[10, 10, 10, 10]"
9,1.7313019390581366e-05,3.077178382218496e-05,0.928030303030303,0.9157894736842105,0.8876798740301405,0.4,"[10, 10, 10, 10]"
