Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,0.00023897238034452316,0.0004250919074339541,0.9359430604982208,0.883991683991684,0.8453074498116588,0.3,"[50, 50, 50, 50]"
2,8.7445186013914e-05,0.00015537639382392495,0.7561837455830389,0.6828157349896481,0.5770740925991118,0.3,"[50, 50, 50, 50]"
3,5.110349276729183e-05,9.088645395932676e-05,0.9816849816849815,0.9473572938689218,0.9297967270493164,0.3,"[50, 50, 50, 50]"
4,8.030783862734266e-05,0.0001428327331463411,0.8903508771929826,0.8490654205607477,0.7985271493474027,0.3,"[50, 50, 50, 50]"
5,0.00013775117890293378,0.00024371506673885062,0.8007246376811594,0.7855042016806723,0.7142866170427269,0.3,"[50, 50, 50, 50]"
6,0.0002348349220173869,0.00041737245012651186,0.786046511627907,0.7301204819277108,0.6402517236225727,0.3,"[50, 50, 50, 50]"
7,2.75422766621691e-05,4.91353564458747e-05,0.9711191335740071,0.7786163522012579,0.7046827327115237,0.3,"[50, 50, 50, 50]"
8,8.614778652778837e-05,0.00015324996324038038,0.8892988929889297,0.8747346072186837,0.832942879417401,0.3,"[50, 50, 50, 50]"
9,0.00011668689721231321,0.0002072724538372378,0.928030303030303,0.895043103448276,0.860052487626092,0.3,"[50, 50, 50, 50]"
