Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,0.0001431625132248832,0.0002545893390635861,0.9359430604982208,0.8841995841995842,0.8455841961304872,0.2,"[50, 50, 50, 50]"
2,0.00011030667255349941,0.00019607279758698885,0.7561837455830389,0.6807453416149069,0.5743180276658978,0.2,"[50, 50, 50, 50]"
3,4.251174908532753e-05,7.562456681433724e-05,0.9816849816849815,0.9454545454545455,0.9272610740734821,0.2,"[50, 50, 50, 50]"
4,0.0002002236973631857,0.0003573673739984757,0.8903508771929826,0.8464953271028038,0.795094874467752,0.2,"[50, 50, 50, 50]"
5,9.631303501792882e-05,0.00017069327877833692,0.8007246376811594,0.7848739495798319,0.7134330673947662,0.2,"[50, 50, 50, 50]"
6,0.00043670263382848684,0.0007757042667606105,0.786046511627907,0.732289156626506,0.6431381108270188,0.2,"[50, 50, 50, 50]"
7,2.3244900161688945e-05,4.141284461175105e-05,0.9711191335740071,0.7761006289308175,0.7013105155501814,0.2,"[50, 50, 50, 50]"
8,5.830001367345679e-05,0.00010371520257811324,0.8892988929889297,0.8738853503184714,0.8318104296727151,0.2,"[50, 50, 50, 50]"
9,5.160853481305327e-05,9.164069036890025e-05,0.928030303030303,0.8922413793103449,0.8563087033633934,0.2,"[50, 50, 50, 50]"
