Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,6.243249486492726e-05,0.00011105331931897851,0.9359430604982208,0.8835758835758837,0.8447515147051183,0.1,"[50, 50, 50, 50]"
2,0.00024214124493177565,0.00043112411690120103,0.7561837455830389,0.6819875776397516,0.5759678716969558,0.1,"[50, 50, 50, 50]"
3,6.535684789286207e-05,0.00011626585056761229,0.9816849816849815,0.9496828752642708,0.9328993595811881,0.1,"[50, 50, 50, 50]"
4,0.0001313190865771878,0.00023394860090159144,0.8903508771929826,0.8586448598130841,0.8113249352796474,0.1,"[50, 50, 50, 50]"
5,5.70816561918881e-05,0.00010079716313141624,0.8007246376811594,0.780672268907563,0.7078488001763366,0.1,"[50, 50, 50, 50]"
6,0.0004428315672327861,0.0007861311138350355,0.786046511627907,0.7334939759036144,0.6447324202245378,0.1,"[50, 50, 50, 50]"
7,3.247449287294739e-05,5.7835619537483196e-05,0.9711191335740071,0.7746331236897275,0.6993500067754497,0.1,"[50, 50, 50, 50]"
8,8.760027827738479e-05,0.00015590273708145522,0.8892988929889297,0.872823779193206,0.8303947822803641,0.1,"[50, 50, 50, 50]"
9,0.00023332218588981363,0.00041476164826034805,0.928030303030303,0.8851293103448276,0.8468242212833212,0.1,"[50, 50, 50, 50]"
