Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,0.0001659055464690993,0.0002951206555070417,0.9359430604982208,0.8970074812967581,0.8626672895283305,0.1,"[30, 30, 30, 30]"
2,0.00012211966906595855,0.00021705749523654645,0.7561837455830389,0.7084367245657568,0.6112861484943941,0.1,"[30, 30, 30, 30]"
3,8.841465827266997e-05,0.00015729126829225982,0.9816849816849815,0.9590330788804071,0.945367016244858,0.1,"[30, 30, 30, 30]"
4,0.00013982472365349895,0.00024971030173424603,0.8903508771929826,0.8724137931034482,0.8296817800709657,0.1,"[30, 30, 30, 30]"
5,6.950821344760753e-05,0.00012302812024322346,0.8007246376811594,0.7962121212121211,0.7285084517415852,0.1,"[30, 30, 30, 30]"
6,0.00027533971931387847,0.0004895505401822163,0.786046511627907,0.7591044776119402,0.6788862268511908,0.1,"[30, 30, 30, 30]"
7,1.0151704534639596e-05,1.796198946294191e-05,0.9711191335740071,0.8246851385390427,0.7661363565766787,0.1,"[30, 30, 30, 30]"
8,9.884230945056045e-05,0.0001759399581566294,0.8892988929889297,0.8797953964194372,0.8396790886988731,0.1,"[30, 30, 30, 30]"
9,0.00012176890432098741,0.00021648937091502167,0.928030303030303,0.8911458333333334,0.8548371692178431,0.1,"[30, 30, 30, 30]"
