Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,0.00011484101797666354,0.0002041858679126162,0.9359430604982208,0.9205607476635513,0.8940850103151311,0.2,"[10, 10, 10, 10]"
2,9.542462359991524e-05,0.0001696552450658063,0.7561837455830389,0.7312693498452012,0.64180104079543,0.2,"[10, 10, 10, 10]"
3,3.27768080832823e-05,5.832525083386122e-05,0.9816849816849815,0.968370607028754,0.9578180803696613,0.2,"[10, 10, 10, 10]"
4,9.529467092398725e-05,0.0001702281765796661,0.8903508771929826,0.8776119402985076,0.8365778392318461,0.2,"[10, 10, 10, 10]"
5,6.331339350887507e-05,0.00011188610399123604,0.8007246376811594,0.8098101265822786,0.7466527852331072,0.2,"[10, 10, 10, 10]"
6,0.00013003545644837478,0.00023065451632765265,0.786046511627907,0.7619607843137255,0.6826777348978836,0.2,"[10, 10, 10, 10]"
7,4.212733068627773e-05,7.483037254877647e-05,0.9711191335740071,0.9012618296529971,0.8683365320716382,0.2,"[10, 10, 10, 10]"
8,2.6307052702561432e-05,4.679744317497121e-05,0.8892988929889297,0.8839228295819936,0.8451676024897223,0.2,"[10, 10, 10, 10]"
9,5.542570791012633e-05,9.842138127063546e-05,0.928030303030303,0.9121710526315789,0.8828602259964331,0.2,"[10, 10, 10, 10]"
