Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,0.00015091116763369967,0.00026843814659844575,0.9359430604982208,0.8962593516209475,0.8616709242567859,0.2,"[30, 30, 30, 30]"
2,0.00020934800411307199,0.0003720354226297101,0.7561837455830389,0.7121588089330025,0.6162259139902335,0.2,"[30, 30, 30, 30]"
3,4.7552554205235165e-05,8.459681221615166e-05,0.9816849816849815,0.9508905852417303,0.9345075427105118,0.2,"[30, 30, 30, 30]"
4,0.00010055636294241168,0.00017892860236640442,0.8903508771929826,0.871264367816092,0.8281480325868744,0.2,"[30, 30, 30, 30]"
5,0.00016183155913795618,0.0002861799054614433,0.8007246376811594,0.7838383838383839,0.7120662748524541,0.2,"[30, 30, 30, 30]"
6,0.0001628672557609956,0.0002894118502398972,0.786046511627907,0.753731343283582,0.6717258020113342,0.2,"[30, 30, 30, 30]"
7,3.729341457516874e-05,6.633105396923941e-05,0.9711191335740071,0.8209068010075565,0.7611043241632913,0.2,"[30, 30, 30, 30]"
8,0.00010581941364707042,0.00018831818829208235,0.8892988929889297,0.8828644501278772,0.8437711392711668,0.2,"[30, 30, 30, 30]"
9,0.00015040268132716035,0.00026736442670074426,0.928030303030303,0.8927083333333332,0.8569296737091767,0.2,"[30, 30, 30, 30]"
