Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,0.00013847343403751544,0.00024625467298506026,0.9359430604982208,0.8887780548628429,0.8516981820502076,0.3,"[30, 30, 30, 30]"
2,0.00012177759716381372,0.0002167029172589911,0.7561837455830389,0.7121588089330024,0.6162550566097885,0.3,"[30, 30, 30, 30]"
3,0.00010855794901013664,0.0001931514530474467,0.9816849816849815,0.9493638676844783,0.932471079782726,0.3,"[30, 30, 30, 30]"
4,9.211550035965433e-05,0.0001640741626987474,0.8903508771929826,0.8695402298850574,0.825852497894212,0.3,"[30, 30, 30, 30]"
5,7.227153691800142e-05,0.0001278346510949624,0.8007246376811594,0.7878787878787878,0.7174155683577232,0.3,"[30, 30, 30, 30]"
6,0.00013266998341625172,0.0002354664117481657,0.786046511627907,0.7522388059701492,0.6697260979559038,0.3,"[30, 30, 30, 30]"
7,6.492861025279856e-05,0.00011542387964930984,0.9711191335740071,0.8244332493702771,0.7658205643778111,0.3,"[30, 30, 30, 30]"
8,7.15879961829424e-05,0.00012751877910726053,0.8892988929889297,0.8887468030690538,0.8516190048455391,0.3,"[30, 30, 30, 30]"
9,0.00010428722993827147,0.00018551250538988316,0.928030303030303,0.8942708333333333,0.8590097395017595,0.3,"[30, 30, 30, 30]"
