Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,1.8223598157799498e-05,3.241919560612141e-05,0.9359430604982208,0.9161993769470405,0.8882688521318919,0.3,"[10, 10, 10, 10]"
2,6.826694612449281e-05,0.00012130057164443625,0.7561837455830389,0.7297213622291021,0.639744261142572,0.3,"[10, 10, 10, 10]"
3,3.1756077035706345e-05,5.650280272549508e-05,0.9816849816849815,0.9680511182108626,0.9573920735574326,0.3,"[10, 10, 10, 10]"
4,1.6243409816588725e-05,2.9119124155833662e-05,0.8903508771929826,0.8824626865671641,0.8430547133794335,0.3,"[10, 10, 10, 10]"
5,4.105912514020195e-05,7.270698805480334e-05,0.8007246376811594,0.8098101265822784,0.7466444792292146,0.3,"[10, 10, 10, 10]"
6,3.571276004955362e-05,6.30938735407951e-05,0.786046511627907,0.7611764705882352,0.6816367233675218,0.3,"[10, 10, 10, 10]"
7,1.0614760487881077e-05,1.885842339458891e-05,0.9711191335740071,0.9015772870662462,0.8687580111919552,0.3,"[10, 10, 10, 10]"
8,4.147094334333928e-05,7.390235374386627e-05,0.8892988929889297,0.8819935691318328,0.8425893315506823,0.3,"[10, 10, 10, 10]"
9,6.684749153585707e-05,0.00011884662254693893,0.928030303030303,0.9151315789473685,0.8868038969376322,0.3,"[10, 10, 10, 10]"
