Subject,Accuracy_Variance,Kappa_Variance,Mean_Accuracy_Orig,Mean_Accuracy_TTA,Mean_Kappa,Epsilon,Aug_Count
1,0.0001261841487131346,0.00022436758529527262,0.9359430604982208,0.9058171745152354,0.8744208813371002,0.2,"[20, 20, 20, 20]"
2,0.0001801131778592332,0.0003202797610594454,0.7561837455830389,0.7250688705234161,0.6334885505144372,0.2,"[20, 20, 20, 20]"
3,0.00011056807917387833,0.00019677033960553507,0.9816849816849815,0.9603399433427763,0.9471066684684489,0.2,"[20, 20, 20, 20]"
4,0.00017287906898296487,0.0003086888914203454,0.8903508771929826,0.8740259740259739,0.8317883202926225,0.2,"[20, 20, 20, 20]"
5,7.39945854199103e-05,0.00013040408154536612,0.8007246376811594,0.7876404494382022,0.7171029745019173,0.2,"[20, 20, 20, 20]"
6,0.00011031312841137637,0.0001961796401151802,0.786046511627907,0.7572881355932203,0.6764486486976177,0.2,"[20, 20, 20, 20]"
7,3.391334747406616e-05,6.037410631808346e-05,0.9711191335740071,0.8546218487394958,0.8061127444083793,0.2,"[20, 20, 20, 20]"
8,5.266912516041987e-05,9.374240231810072e-05,0.8892988929889297,0.8820512820512821,0.8426805210905532,0.2,"[20, 20, 20, 20]"
9,9.774427618532497e-05,0.0001737983699260479,0.928030303030303,0.8991279069767442,0.8654844986187665,0.2,"[20, 20, 20, 20]"
